FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,MANAGER_ID,DEPARTMENT_ID,ROLE
Laura,Bennett,laura.bennett@company.com,555-123-4567,2023-06-01,1000,4,manager
James,Wilson,james.wilson@company.com,555-234-5678,2024-01-15,1000,4,employee
Emily,Clark,emily.clark@company.com,555-345-6789,2024-06-01,1000,4,employee
Sarah,Miller,sarah.miller@company.com,555-456-7890,2024-09-01,1000,4,employee
David,Lee,david.lee@company.com,555-567-8901,2025-01-01,1000,4,employee
Michael,Taylor,michael.taylor@company.com,555-678-9012,2023-07-15,1005,5,manager
Anna,White,anna.white@company.com,555-789-0123,2024-02-01,1005,5,employee
Robert,Adams,robert.adams@company.com,555-890-1234,2024-07-01,1005,5,employee
Lisa,Moore,lisa.moore@company.com,555-901-2345,2024-10-01,1005,5,employee
Thomas,Brown,thomas.brown@company.com,555-012-3456,2025-02-01,1005,5,employee
Elizabeth,Scott,elizabeth.scott@company.com,555-123-4568,2023-09-01,1010,6,manager
Mark,Johnson,mark.johnson@company.com,555-234-5679,2024-03-01,1010,6,employee
Jessica,Green,jessica.green@company.com,555-345-6790,2024-08-01,1010,6,employee
Steven,Hall,steven.hall@company.com,555-456-7891,2024-11-01,1010,6,employee
Nancy,Lewis,nancy.lewis@company.com,555-567-8902,2025-03-01,1010,6,employee
Daniel,King,daniel.king@company.com,555-678-9013,2023-10-15,1015,7,manager
Sophia,Walker,sophia.walker@company.com,555-789-0124,2024-04-01,1015,7,employee
Paul,Young,paul.young@company.com,555-890-1235,2024-09-01,1015,7,employee
Maria,Hernandez,maria.hernandez@company.com,555-901-2346,2024-12-01,1015,7,employee
Charles,Perez,charles.perez@company.com,555-012-3457,2025-04-01,1015,7,employee
Amanda,Reed,amanda.reed@company.com,555-123-4569,2024-01-01,1020,8,manager
John,Garcia,john.garcia@company.com,555-234-5680,2024-05-01,1020,8,employee
Rebecca,Taylor,rebecca.taylor@company.com,555-345-6791,2024-10-01,1020,8,employee
Kevin,Allen,kevin.allen@company.com,555-456-7892,2025-01-01,1020,8,employee
Julia,Smith,julia.smith@company.com,555-567-8903,2025-04-15,1020,8,employee
Richard,Gonzalez,richard.gonzalez@company.com,555-678-9014,2024-03-15,1025,9,manager
Emma,Thompson,emma.thompson@company.com,555-789-0125,2024-06-01,1025,9,employee
George,Martinez,george.martinez@company.com,555-890-1236,2024-11-01,1025,9,employee
Clara,Robinson,clara.robinson@company.com,555-901-2347,2025-02-01,1025,9,employee
Oliver,Lopez,oliver.lopez@company.com,555-012-3458,2025-05-01,1025,9,employee
Linda,Hill,linda.hill@company.com,555-123-4570,2024-06-01,1030,10,manager
Andrew,Collins,andrew.collins@company.com,555-234-5681,2024-07-01,1030,10,employee
Megan,Lewis,megan.lewis@company.com,555-345-6792,2024-12-01,1030,10,employee
Brian,Nelson,brian.nelson@company.com,555-456-7893,2025-03-01,1030,10,employee
Grace,Stewart,grace.stewart@company.com,555-567-8904,2025-05-01,1030,10,employee
Henry,Cooper,henry.cooper@company.com,555-678-9015,2024-09-01,1035,11,manager
Isabella,Foster,isabella.foster@company.com,555-789-0126,2024-10-01,1035,11,employee
Ethan,Phillips,ethan.phillips@company.com,555-890-1237,2024-12-01,1035,11,employee
Chloe,Brooks,chloe.brooks@company.com,555-901-2348,2025-03-01,1035,11,employee
Samuel,Perry,samuel.perry@company.com,555-012-3459,2025-05-01,1035,11,employee
Patricia,Bell,patricia.bell@company.com,555-123-4571,2025-01-01,1040,12,manager
Edward,Gray,edward.gray@company.com,555-234-5682,2025-02-01,1040,12,employee
Lillian,Carter,lillian.carter@company.com,555-345-6793,2025-03-01,1040,12,employee
Joseph,Murphy,joseph.murphy@company.com,555-456-7894,2025-04-01,1040,12,employee
Alice,Price,alice.price@company.com,555-567-8905,2025-05-01,1040,12,employee
William,Edwards,william.edwards@company.com,555-678-9016,2025-03-01,1045,13,manager
Natalie,Watson,natalie.watson@company.com,555-789-0127,2025-03-15,1045,13,employee
David,Bailey,david.bailey@company.com,555-890-1238,2025-04-01,1045,13,employee
Sophie,Long,sophie.long@company.com,555-901-2349,2025-04-15,1045,13,employee
Lucas,Fisher,lucas.fisher@company.com,555-012-3460,2025-05-01,1045,13,employee
